DATE,MANMM101CNM657S
1990-03-01,1.48501377804152
1990-04-01,1.10012548218688
1990-05-01,1.23659946161792
1990-06-01,1.82033743167792
1990-07-01,2.0434776109415
1990-08-01,2.08453695365669
1990-09-01,2.09746611896721
1990-10-01,2.22411840665513
1990-11-01,2.21023787721349
1990-12-01,2.07305559025918
1991-01-01,1.98852773450297
1991-02-01,1.85574518799508
1991-03-01,1.58442586233861
1991-04-01,1.31186459777226
1991-05-01,1.45169510736641
1991-06-01,1.88439020145922
1991-07-01,2.36322406178451
1991-08-01,2.37727787455891
1991-09-01,2.09141482317224
1991-10-01,1.45180652051528
1991-11-01,1.42636106538589
1991-12-01,2.03235883367731
1992-01-01,2.53551553168235
1992-02-01,2.4927047697307
1992-03-01,1.67568382373645
1992-04-01,4.07054050775447
1992-05-01,4.122091472238
1992-06-01,1.9302846794192
1992-07-01,2.39347104962006
1992-08-01,2.37341137089594
1992-09-01,2.07427606466421
1992-10-01,2.7560940774928
1992-11-01,2.66332350151625
1992-12-01,1.96342871900237
1993-01-01,11.0619682016291
1993-02-01,10.1400274561752
1993-03-01,1.69948026719625
1993-04-01,1.96214086767863
1993-05-01,2.06757068066956
1993-06-01,1.85759818311215
1993-07-01,-2.68029852741748
1993-08-01,-2.83164894885245
1993-09-01,1.90315172764176
1993-10-01,3.66455170654358
1993-11-01,3.49841955231964
1993-12-01,1.742206853464
1994-01-01,1.64193624871364
1994-02-01,1.61465328142445
1994-03-01,1.56162470352938
1994-04-01,3.37788274664327
1994-05-01,3.41493718174083
1994-06-01,1.68855831044131
1994-07-01,2.03704627364833
1994-08-01,2.00912845927458
1994-09-01,1.73916039250555
1994-10-01,1.51846242425706
1994-11-01,1.45364864989353
1994-12-01,1.57962597812354
1995-01-01,2.1636066247377
1995-02-01,2.15000592169652
1995-03-01,1.51285736330708
1995-04-01,0.735415806762188
1995-05-01,0.767333493983762
1995-06-01,1.5112603510197
1995-07-01,1.03815529545776
1995-08-01,1.02421083301801
1995-09-01,1.515780557536
1995-10-01,0.951380367255934
1995-11-01,0.936472635496965
1995-12-01,1.40359776886071
1996-01-01,0.614335287709882
1996-02-01,0.716633511592637
1996-03-01,1.52070177049999
1996-04-01,1.3899583980513
1996-05-01,1.40377227605936
1996-06-01,1.36608730785495
1996-07-01,2.1713504915805
1996-08-01,2.15653228013789
1996-09-01,1.27348522396995
1996-10-01,1.76129584244055
1996-11-01,1.82663485026856
1996-12-01,1.30968370282391
1997-01-01,2.46319245591558
1997-02-01,2.69674333141234
1997-03-01,1.6775903991367
1997-04-01,2.53843170966608
1997-05-01,2.43058613352323
1997-06-01,1.04459908887224
1997-07-01,0.915526674027259
1997-08-01,0.950833033286154
1997-09-01,0.654384464491579
1997-10-01,1.8007489628837
1997-11-01,2.01736784691481
1997-12-01,0.896483465119614
1998-01-01,-2.27837548336092
1998-02-01,-1.60166836279464
1998-03-01,1.86788096787349
1998-04-01,1.27887366014219
1998-05-01,1.20905110371926
1998-06-01,0.537341912358246
1998-07-01,3.32742618913275
1998-08-01,3.33796211286404
1998-09-01,-0.222030940393667
1998-10-01,1.64161929853769
1998-11-01,2.11645154762562
1998-12-01,0.16728931335367
1999-01-01,-0.313383113246331
1999-02-01,1.09753557216365
1999-03-01,0.872483649905206
1999-04-01,-0.610262567036024
1999-05-01,0.330126227189011
1999-06-01,0.955185294181519
1999-07-01,0.883332451868478
1999-08-01,1.46748341229255
1999-09-01,2.54408474005045
1999-10-01,1.67837079080478
1999-11-01,1.50748932366997
1999-12-01,3.34528021607485
2000-01-01,2.41577221414369
2000-02-01,0.619020523061303
2000-03-01,0.903228244945001
2000-04-01,1.9225578393898
2000-05-01,1.94880149938497
2000-06-01,1.37740408667562
2000-07-01,1.07157388497005
2000-08-01,0.975455208540906
2000-09-01,1.36419348357634
2000-10-01,0.717895474881444
2000-11-01,0.650774537630061
2000-12-01,1.68670259385386
2001-01-01,1.70416768204062
2001-02-01,1.13586810424254
2001-03-01,1.23385788919777
2001-04-01,1.1500373817168
2001-05-01,0.10462639868577
2001-06-01,1.05772172685111
2001-07-01,0.53187655799951
2001-08-01,0.854101261806326
2001-09-01,1.59724927041068
2001-10-01,0.193206738479683
2001-11-01,0.526474827488698
2001-12-01,1.62931663278578
2002-01-01,2.33951510597023
2002-02-01,1.28244681553323
2002-03-01,0.546923368062338
2002-04-01,1.43496020416869
2002-05-01,1.9824811409749
2002-06-01,1.30758440259963
2002-07-01,1.44558624826545
2002-08-01,1.75326700748784
2002-09-01,1.50521793623393
2002-10-01,1.5946683752662
2002-11-01,1.48142391899353
2002-12-01,1.21581483818403
2003-01-01,1.23988179505435
2003-02-01,1.3693160872963
2003-03-01,1.41859696454665
2003-04-01,1.17163274339826
2003-05-01,1.45122779980405
2003-06-01,2.10789422699257
2003-07-01,1.96676446727561
2003-08-01,1.25207979733882
2003-09-01,1.19928745821565
2003-10-01,1.85227515466917
2003-11-01,1.34744581046268
2003-12-01,0.900575207999338
2004-01-01,0.127314111272244
2004-02-01,1.8196882111726
2004-03-01,3.07762851082921
2004-04-01,1.35124184244468
2004-05-01,0.978035786273721
2004-06-01,0.654431530701995
2004-07-01,0.520249064777431
2004-08-01,0.796883233597916
2004-09-01,0.784944548725253
2004-10-01,0.719213950369055
2004-11-01,1.08919326975601
2004-12-01,1.28003729201235
2005-01-01,1.05170339419919
2005-02-01,0.440332222969284
2005-03-01,0.538972260862384
2005-04-01,1.18648181536848
2005-05-01,0.96889697707335
2005-06-01,0.899295638584628
2005-07-01,0.827171324513602
2005-08-01,0.856997930839397
2005-09-01,1.14647641125035
2005-10-01,1.10636610170798
2005-11-01,1.37837623626354
2005-12-01,1.10864019758726
2006-01-01,0.316071522155279
2006-02-01,0.663444882245526
2006-03-01,1.42805510566123
2006-04-01,1.2781803136179
2006-05-01,1.4460733144556
2006-06-01,1.56455860391558
2006-07-01,1.4207022032151
2006-08-01,1.39562626582504
2006-09-01,1.45133742309906
2006-10-01,1.65473371970118
2006-11-01,1.76187608958794
2006-12-01,1.63055615147946
2007-01-01,1.62391591612208
2007-02-01,2.03357536938152
2007-03-01,1.47465736122767
2007-04-01,0.813747732316759
2007-05-01,1.12673340439531
2007-06-01,1.9901941233154
2007-07-01,2.02572511090222
2007-08-01,2.10392024555862
2007-09-01,2.17539830575675
2007-10-01,1.59513922627158
2007-11-01,1.57457462628534
2007-12-01,1.19192281236833
2008-01-01,1.09064276114492
2008-02-01,1.09677550000348
2008-03-01,0.36094549633877
2008-04-01,0.471042413436739
2008-05-01,0.838733888564013
2008-06-01,0.114098991887875
2008-07-01,0.334773295221199
2008-08-01,0.882753934987112
2008-09-01,0.484334589670472
2008-10-01,0.450741939066177
2008-11-01,0.210930166338409
2008-12-01,1.33360414047145
2009-01-01,1.05744227600822
2009-02-01,1.95646906552473
2009-03-01,4.9664685620059
2009-04-01,3.15522915698808
2009-05-01,1.56843291076027
2009-06-01,3.35662911943881
2009-07-01,3.60984860874328
2009-08-01,2.27653200800857
2009-09-01,2.00950964115841
2009-10-01,2.01824514021287
2009-11-01,1.87381877437832
2009-12-01,1.3725016370605
2010-01-01,2.73561065456812
2010-02-01,3.03024334079926
2010-03-01,1.28446551811936
2010-04-01,1.5892041990272
2010-05-01,1.64323572481855
2010-06-01,0.767292864839823
2010-07-01,0.982669836076596
2010-08-01,1.41128109311969
2010-09-01,1.29246536318132
2010-10-01,1.84116105085199
2010-11-01,2.01212089718745
2010-12-01,0.933653283385686
2011-01-01,-0.596621025249739
2011-02-01,0.803657412435463
2011-03-01,1.92113582420227
2011-04-01,0.91762731829575
2011-05-01,0.946597583146376
2011-06-01,0.718427413942793
2011-07-01,0.48475056773778
2011-08-01,0.601676847225426
2011-09-01,-0.0829667711992412
2011-10-01,0.424942757752227
2011-11-01,1.32014540389299
2011-12-01,0.570337152943431
2012-01-01,-2.98345773112465
2012-02-01,-1.05057673836411
2012-03-01,2.42630247742873
2012-04-01,0.384192896436233
2012-05-01,0.722345102669054
2012-06-01,1.31804251978754
2012-07-01,1.05815256783815
2012-08-01,0.622013901619975
2012-09-01,1.07603475223589
2012-10-01,1.09104193603341
2012-11-01,0.470212076474879
2012-12-01,0.632902920788951
2013-01-01,1.27008437870723
2013-02-01,0.655490583437669
2013-03-01,1.03193342723806
2013-04-01,1.47702873552926
2013-05-01,0.575264530853867
2013-06-01,-0.177787472910273
2013-07-01,0.23376146697005
2013-08-01,0.988749601912981
2013-09-01,0.63292404005403
2013-10-01,0.735582821352733
2013-11-01,0.75400660119456
2013-12-01,0.701523425353857
2014-01-01,-2.65327102863656
2014-02-01,-0.271793114974308
2014-03-01,3.34085908232051
2014-04-01,0.864028104091986
2014-05-01,0.669120669927815
2014-06-01,1.21727274250846
2014-07-01,0.510209149186265
2014-08-01,-0.607019310323839
2014-09-01,-0.297649465044836
2014-10-01,-0.356499625856873
2014-11-01,0.0335195308839626
2014-12-01,0.852012679484621
2015-01-01,0.683091398264449
2015-02-01,0.79987984085915
2015-03-01,0.0453465295738825
2015-04-01,0.050742328761099
2015-05-01,1.38721869625833
2015-06-01,1.38157916279667
2015-07-01,1.27723984745088
2015-08-01,1.56869040751381
2015-09-01,1.86040968430749
2015-10-01,1.86938116768852
2015-11-01,1.96846590890928
2015-12-01,1.69403782036076
2016-01-01,2.01307333700856
2016-02-01,1.51500956953466
2016-03-01,1.73530553993325
2016-04-01,2.42884466310739
2016-05-01,1.93838020802397
2016-06-01,2.03497813362261
2016-07-01,1.85165228681491
2016-08-01,1.70845722009212
2016-09-01,1.49727436940215
2016-10-01,1.30260103138649
2016-11-01,1.21544895799508
2016-12-01,0.977729904454865
2017-01-01,-1.36660671054305
2017-02-01,1.36683388317583
2017-03-01,3.66135845358752
2017-04-01,1.19683595579601
2017-05-01,1.07875567925981
2017-06-01,0.590602575452362
2017-07-01,1.02359582497482
2017-08-01,1.13023204389333
2017-09-01,0.900566096964071
2017-10-01,0.849918111311112
2017-11-01,0.68094482410253
2017-12-01,0.602894440159232
2018-01-01,-0.315691785212274
2018-02-01,-0.242443804816144
2018-03-01,0.139324340956631
2018-04-01,0.522475400074478
2018-05-01,0.50644528347858
2018-06-01,0.382438956308222
2018-07-01,0.558376172306572
2018-08-01,-0.204947371575618
2018-09-01,0.359528349554281
2018-10-01,0.264299309036653
2018-11-01,-0.509058638736691
2018-12-01,0.0280948884465135
